tconst	averageRating	numVotes
tt0023601	6.3	193
tt0023630	6.6	10
tt0023652	5.5	386
tt0023674	6.2	72
tt0023703	6.0	116
tt0023732	3.2	17
tt0023735	4.0	12
tt0023737	6.3	481
tt0023749	5.7	159
tt0023753	6.3	2796
tt0023771	5.0	102
tt0023791	5.1	111
tt0023838	6.8	656
tt0023862	6.8	9
tt0023888	5.8	101
tt0023895	6.4	10
tt0023900	5.9	252
tt0023913	6.7	39
tt0023944	5.0	19
tt0023960	6.7	1330
tt0023969	7.7	64011
tt0023978	5.5	28
tt0023986	7.2	1707
tt0024005	6.3	869
tt0024011	6.5	28
tt0024014	7.0	16
tt0024015	5.8	49
tt0024017	6.0	14
tt0024118	5.2	13
tt0024161	6.7	240
tt0024191	6.8	131
tt0024205	6.6	69
tt0024217	6.7	98
tt0024237	6.6	40
tt0024241	6.4	72
tt0024249	7.0	150
tt0024254	6.5	71
tt0024299	6.4	26
tt0024307	6.5	625
tt0024317	5.6	22
tt0024334	7.0	1812
tt0024345	6.0	25
tt0024362	2.6	32
tt0024363	5.8	28
tt0024366	6.3	28
tt0024390	6.1	31
tt0024409	5.8	24
tt0024455	6.3	159
tt0024458	1.4	19
tt0024465	6.6	756
tt0024476	6.0	760
tt0024501	6.0	259
tt0024511	6.7	26
tt0024524	6.1	226
tt0024542	3.3	21
tt0024567	5.5	12
tt0024570	6.3	205
tt0024581	6.5	168
tt0024590	6.3	330
tt0024616	5.7	324
tt0024617	7.1	2002
tt0024642	6.1	67
tt0024672	6.9	552
tt0024680	6.3	169
tt0024714	4.7	11
tt0024723	7.2	28
tt0024724	5.7	82
tt0024727	5.8	3217
tt0024740	4.5	35
tt0024751	6.5	31
tt0024757	6.0	336
tt0024771	6.1	429
tt0024782	4.4	322
tt0024784	5.6	51
tt0024785	7.2	1302
tt0024811	6.1	27
tt0024845	5.0	56
tt0024857	6.1	181
tt0024870	6.1	238
tt0024883	6.0	138
tt0024893	4.7	134
tt0024895	5.9	870
tt0024900	6.2	83
tt0024939	5.8	204
tt0024963	6.3	1195
tt0024991	6.8	4866
tt0024993	6.1	124
tt0025073	6.2	171
tt0025080	5.9	16
tt0025102	5.3	18
tt0025112	5.9	18
tt0025133	5.7	131
tt0025137	5.1	15
tt0025141	6.3	234
tt0025189	6.7	303
tt0025214	6.5	560
tt0025245	7.0	19
tt0025256	6.1	221
tt0025262	4.8	68
tt0025273	6.1	1160
tt0025298	7.3	18
tt0025336	5.3	21
